p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.25551285467593e-237	1.93354816316266	0.92	0.476	1.72181032890257e-233	0	LDHB
5.42747647466491e-231	0.888270313122324	1	0.988	7.44324123735546e-227	0	RPS12
3.98979847514405e-202	0.933256016394687	0.998	0.967	5.47160962881255e-198	0	RPS25
1.10522884128818e-201	1.89069682671315	0.871	0.235	1.51571083294261e-197	0	CD3D
9.89154057218001e-192	0.734116802747128	1	0.992	1.35652587406877e-187	0	RPS3
1.19689142395269e-191	0.816006303634589	0.999	0.989	1.64141689880871e-187	0	RPS27
1.50163974747255e-186	0.73112408665061	1	0.993	2.05934874968385e-182	0	RPS6
2.88857415551422e-173	0.684490340464638	1	0.992	3.96139059687221e-169	0	RPS14
2.60975756585577e-168	0.790920681437489	0.996	0.978	3.5790215258146e-164	0	TPT1
3.34910112520935e-167	0.709573595714053	0.998	0.994	4.59295728311211e-163	0	RPL3
1.52606702600641e-161	0.849245540564526	0.997	0.953	2.09284831946518e-157	0	RPL31
4.68091769020754e-161	0.782848032788924	0.998	0.974	6.41941052035063e-157	0	RPL30
1.38757785326331e-160	0.747368598364463	0.997	0.978	1.90292426796531e-156	0	RPS15A
6.61455360634657e-160	0.894652616449889	0.997	0.955	9.07119881574369e-156	0	RPS27A
1.7016871484274e-156	0.814493024227401	0.997	0.962	2.33369375535334e-152	0	RPL9
6.9482947421551e-154	0.6850550712672	1	0.986	9.52889140939151e-150	0	RPLP2
9.96902011936941e-154	0.642003737959103	0.997	0.988	1.36715141917032e-149	0	EEF1A1
1.21100952474086e-153	0.609956317047852	0.999	0.993	1.66077846222961e-149	0	RPL32
1.26678493857453e-150	0.962390561671952	0.989	0.876	1.73726886476111e-146	0	RPS29
1.02547025275045e-149	0.609484719194159	0.999	0.996	1.40632990462197e-145	0	RPS18
2.55624279180924e-147	1.79485455489429	0.767	0.257	3.50563136468719e-143	0	CD3E
2.04896083439133e-146	0.582701879142783	1	0.995	2.80994488828427e-142	0	RPL13
9.91540744647349e-145	0.642005719682664	0.999	0.984	1.35979897720937e-140	0	RPL27A
2.25537144177569e-139	0.559773349467362	1	0.999	3.09301639525119e-135	0	RPL13A
1.64326753502157e-136	0.669265126826586	1	0.984	2.25357709752858e-132	0	RPL23A
8.56609647930319e-136	0.816503787264502	0.995	0.969	1.17475447117164e-131	0	RPS3A
2.60422735834296e-133	2.11116407226205	0.658	0.195	3.57143739923153e-129	0	IL7R
9.58743289990185e-131	1.36436716248244	0.926	0.524	1.31482054789254e-126	0	LTB
1.70617127405872e-130	0.685204349712858	0.998	0.988	2.33984328524413e-126	0	RPL21
7.63457620604761e-130	0.775883815416765	0.992	0.931	1.04700578089737e-125	0	RPSA
2.03950546937268e-124	0.801779126553382	0.991	0.925	2.7969778006977e-120	0	RPS20
4.60087427851358e-124	0.625063450089657	0.998	0.975	6.30963898555352e-120	0	RPL35A
4.77214395094904e-123	0.582106957151995	0.998	0.989	6.54451821433151e-119	0	RPS4X
1.18383249878026e-122	0.496428704794961	1	0.994	1.62350788882725e-118	0	RPL11
1.66402365296184e-122	0.73785160160762	0.986	0.953	2.28204203767187e-118	0	RPS13
5.36544351268397e-121	1.19209677944402	0.84	0.318	7.35816923329479e-117	0	IL32
3.92922852698636e-120	0.698190223372979	0.992	0.961	5.38854400190909e-116	0	RPS28
8.49556355755547e-114	0.762335864039499	0.986	0.922	1.16508158628316e-109	0	RPLP0
1.71454533376234e-110	0.661682769850851	0.992	0.96	2.35132747072167e-106	0	RPS10
4.39900523838816e-108	0.545970979480378	0.995	0.981	6.03279578392553e-104	0	RPL14
1.79957533020791e-107	0.693257408754196	0.99	0.933	2.46793760784712e-103	0	RPL36
3.40435197280268e-106	0.411915324298916	1	0.997	4.6687282955016e-102	0	RPL10
6.7658188338591e-106	0.654175160508806	0.993	0.958	9.27864394875436e-102	0	RPL5
1.0901293991094e-101	1.85987915498785	0.642	0.256	1.49500345793863e-97	0	NOSIP
